"","stocks.AAPL","stocks.MSFT","stocks.PYPL"
"2018-09-11",223.850006,111.239998,91.43
"2018-09-12",221.070007,111.709999,92.400002
"2018-09-13",226.410004,112.910004,92.190002
"2018-09-14",223.839996,113.370003,90.779999
"2018-09-17",217.880005,112.139999,88.68
"2018-09-18",218.240005,113.209999,89.720001
"2018-09-19",218.369995,111.699997,89.309998
"2018-09-20",220.029999,113.57,90.599998
"2018-09-21",217.660004,114.260002,90.620003
"2018-09-24",220.789993,114.669998,89.620003
"2018-09-25",222.190002,114.449997,90.040001
"2018-09-26",220.419998,113.980003,89.849998
"2018-09-27",224.949997,114.410004,88.989998
"2018-09-28",225.740005,114.370003,87.839996
"2018-10-01",227.259995,115.610001,87.550003
"2018-10-02",229.279999,115.150002,86.68
"2018-10-03",232.070007,115.169998,87.150002
"2018-10-04",227.990005,112.790001,84.339996
"2018-10-05",224.289993,112.129997,83.18
"2018-10-08",223.770004,110.849998,80.550003
"2018-10-09",226.869995,112.260002,80.029999
"2018-10-10",216.360001,106.160004,75.449997
"2018-10-11",214.449997,105.910004,75.900002
"2018-10-12",222.110001,109.57,79.029999
"2018-10-15",217.360001,107.599998,77.230003
"2018-10-16",222.149994,111,80.610001
"2018-10-17",221.190002,110.709999,80.089996
"2018-10-18",216.020004,108.5,77.480003
"2018-10-19",219.309998,108.660004,84.779999
"2018-10-22",220.649994,109.629997,85.43
"2018-10-23",222.729996,108.099998,87.57
"2018-10-24",215.089996,102.32,83.089996
"2018-10-25",219.800003,108.300003,85.959999
"2018-10-26",216.300003,106.959999,83.370003
"2018-10-29",212.240005,103.849998,81.150002
"2018-10-30",213.300003,103.730003,80.900002
"2018-10-31",218.860001,106.809998,84.190002
"2018-11-01",222.220001,105.919998,85.040001
"2018-11-02",207.479996,106.160004,83.510002
"2018-11-05",201.589996,107.510002,84.050003
"2018-11-06",203.770004,107.720001,84.690002
"2018-11-07",209.949997,111.959999,88.230003
"2018-11-08",208.490005,111.75,89.040001
"2018-11-09",204.470001,109.57,86.760002
"2018-11-12",194.169998,106.870003,83.779999
"2018-11-13",192.229996,106.940002,83.779999
"2018-11-14",186.800003,104.970001,84.050003
"2018-11-15",191.410004,107.279999,86.739998
"2018-11-16",193.529999,108.290001,85.059998
"2018-11-19",185.860001,104.620003,80.129997
"2018-11-20",176.979996,101.709999,77.760002
"2018-11-21",176.779999,103.110001,79.120003
"2018-11-23",172.289993,103.07,77.949997
"2018-11-26",174.619995,106.470001,80.860001
"2018-11-27",174.240005,107.139999,81.970001
"2018-11-28",180.940002,111.120003,85.980003
"2018-11-29",179.550003,110.190002,84.260002
"2018-11-30",178.580002,110.889999,85.809998
"2018-12-03",184.820007,112.089996,87.980003
"2018-12-04",176.690002,108.519997,84.190002
"2018-12-06",174.720001,109.190002,85.82
"2018-12-07",168.490005,104.82,82.769997
"2018-12-10",169.600006,107.589996,84.93
"2018-12-11",168.630005,108.589996,85.510002
"2018-12-12",169.100006,109.080002,86.5
"2018-12-13",170.949997,109.449997,87.559998
"2018-12-14",165.479996,106.029999,85.919998
"2018-12-17",163.940002,102.889999,84.099998
"2018-12-18",166.070007,103.970001,85.510002
"2018-12-19",160.889999,103.690002,84.029999
"2018-12-20",156.830002,101.510002,82.440002
"2018-12-21",150.729996,98.230003,78.139999
"2018-12-24",146.830002,94.129997,77.059998
"2018-12-26",157.169998,100.559998,82.800003
"2018-12-27",156.149994,101.18,84.309998
"2018-12-28",156.229996,100.389999,83.260002
"2018-12-31",157.740005,101.57,84.089996
"2019-01-02",157.919998,101.120003,85.75
"2019-01-03",142.190002,97.400002,82.089996
"2019-01-04",148.259995,101.93,86.269997
"2019-01-07",147.929993,102.059998,86.93
"2019-01-08",150.75,102.800003,88.699997
"2019-01-09",153.309998,104.269997,89.550003
"2019-01-10",153.800003,103.599998,90.699997
"2019-01-11",152.289993,102.800003,90.650002
"2019-01-14",150,102.050003,90.43
"2019-01-15",153.070007,105.010002,91.599998
"2019-01-16",154.940002,105.379997,90.550003
"2019-01-17",155.860001,106.120003,90.400002
"2019-01-18",156.820007,107.709999,91.120003
"2019-01-22",153.300003,105.68,89.940002
"2019-01-23",153.919998,106.709999,90.5
"2019-01-24",152.699997,106.199997,92.199997
"2019-01-25",157.759995,107.169998,94.279999
"2019-01-28",156.300003,105.080002,92.300003
"2019-01-29",154.679993,102.940002,91.120003
"2019-01-30",165.25,106.379997,92.419998
"2019-01-31",166.440002,104.43,88.760002
"2019-02-01",166.520004,102.779999,90.010002
"2019-02-04",171.25,105.739998,91.660004
"2019-02-05",174.179993,107.220001,92.269997
"2019-02-06",174.240005,106.029999,92.25
"2019-02-07",170.940002,105.269997,90.849998
"2019-02-08",170.410004,105.669998,91.870003
"2019-02-11",169.429993,105.25,92.690002
"2019-02-12",170.889999,106.889999,94.379997
"2019-02-13",170.179993,106.809998,94.010002
"2019-02-14",170.800003,106.900002,94.419998
"2019-02-15",170.419998,108.220001,94.910004
"2019-02-19",170.929993,108.169998,95.019997
"2019-02-20",172.029999,107.150002,94.730003
"2019-02-21",171.059998,109.410004,94.959999
"2019-02-22",172.970001,110.970001,95.980003
"2019-02-25",174.229996,111.589996,96.699997
"2019-02-26",174.330002,112.360001,96.589996
"2019-02-27",174.869995,112.169998,97.860001
"2019-02-28",173.149994,112.029999,98.07
"2019-03-01",174.970001,112.529999,98.800003
"2019-03-04",175.850006,112.260002,96.57
"2019-03-05",175.529999,111.699997,96.529999
"2019-03-06",174.520004,111.75,96.459999
"2019-03-07",172.5,110.389999,96.209999
"2019-03-08",172.910004,110.510002,95.690002
"2019-03-11",178.899994,112.830002,97.449997
"2019-03-12",180.910004,113.620003,97.5
"2019-03-13",181.710007,114.5,99.309998
"2019-03-14",183.729996,114.589996,99.029999
"2019-03-15",186.119995,115.910004,100.730003
"2019-03-18",188.020004,117.57,100.269997
"2019-03-19",186.529999,117.650002,101.540001
"2019-03-20",188.160004,117.519997,102.309998
"2019-03-21",195.089996,120.220001,104.150002
"2019-03-22",191.050003,117.050003,101.269997
"2019-03-25",188.740005,117.660004,101.550003
"2019-03-26",186.789993,117.910004,103.150002
"2019-03-27",188.470001,116.769997,103.07
"2019-03-28",188.720001,116.93,103.860001
"2019-03-29",189.949997,117.940002,103.839996
"2019-04-01",191.240005,119.019997,105.550003
"2019-04-02",194.020004,119.190002,105.230003
"2019-04-03",195.350006,119.970001,104.690002
"2019-04-04",195.690002,119.360001,104.459999
"2019-04-05",197,119.889999,105.730003
"2019-04-08",200.100006,119.93,106.57
"2019-04-09",199.5,119.279999,106.93
"2019-04-10",200.619995,120.190002,107.510002
"2019-04-11",198.949997,120.330002,106.459999
"2019-04-12",198.869995,120.949997,108.480003
"2019-04-15",199.229996,121.050003,108.139999
"2019-04-16",199.25,120.769997,108.199997
"2019-04-17",203.130005,121.769997,108.809998
"2019-04-18",203.860001,123.370003,107.360001
"2019-04-22",204.529999,123.760002,106.809998
"2019-04-23",207.479996,125.440002,106.900002
"2019-04-24",207.160004,125.010002,107.220001
"2019-04-25",205.279999,129.149994,110.220001
"2019-04-26",204.300003,129.889999,110.559998
"2019-04-29",204.610001,129.770004,112.440002
"2019-04-30",200.669998,130.600006,112.769997
"2019-05-01",210.520004,127.879997,110.940002
"2019-05-02",209.149994,126.209999,109.699997
"2019-05-03",211.75,128.899994,111.959999
"2019-05-06",208.479996,128.149994,110.849998
"2019-05-07",202.860001,125.519997,108.949997
